Manufacturer	Model	FAA Code	MTOW	Approach Speed	Wingspan	Tail Height	ARC
Beechcraft	55	BE55	5300	88	37.83	9.17	A-I
Beechcraft	1900	B190	17120	113	58.00	15.50	B-II
Beechcraft	AIRLINER	BE99	11300	107	45.92	14.33	B-I
Beechcraft	AIRLINER 1900-C/C-12J	B190	16600	113	54.50	14.90	B-II
Beechcraft	BARON	BE58	5500	96	37.80	9.80	B-I
Beechcraft	BARON	BE58	6200	101	37.80	9.10	B-I
Beechcraft	BARON	BE58	6200	101	37.80	9.10	B-I
Beechcraft	BONANZA	BE36	3650	80	33.50	8.58	A-I
Beechcraft	BONANZA	BE36	3850	75	37.83	8.58	A-I
Beechcraft	BONANZA	BE35	3400	70	33.50	7.58	A-I
Beechcraft	DUCHESS	BE76	3900	76	38.00	9.50	A-I
Beechcraft	DUKE	BE60	6725	98	39.25	12.33	B-I
Beechcraft	KING AIR	BE10	11800	111	45.92	15.42	B-I
Beechcraft	KING AIR	BE9L	10100	100	50.25	14.25	B-II
Beechcraft	KING AIR	BE9T	10950	108	45.90	15.10	B-I
Beechcraft	Premier 1A	PRM1	12500	108	44.50	15.33	B-I
Beechcraft	SKIPPER 77	BE77	1675	63	30.00	7.92	A-I
Beechcraft	SUNDOWNER 180-C23	BE23	2450	68	32.75	8.25	A-I
Beechcraft	SUPER KING AIR	BE20	12500	103	54.50	15.00	B-II
Boeing	720	B720	229300	133	130.83	41.42	C-IV
Boeing	747	B742	833000	152	195.67	63.42	D-V
Boeing	747	B74S	700000	140	195.67	65.42	C-V
Boeing	747	B74R	600000	141	195.70	64.30	D-V
Boeing	757	B752	255000	135	124.67	44.50	C-IV
Boeing	757	B752	220000	135	124.83	44.50	C-IV
Boeing	777	B772	766000	145	212.07	60.00	D-V
Boeing	777	B773	750000	145	212.07	60.00	D-V
Boeing	707-100	B701	257340	139	130.83	41.67	C-IV
Boeing	707-300	B703	312000	139	142.42	42.17	C-IV
Boeing	707-320B	B703	333600	136	145.75	42.08	C-IV
Boeing	717-200	B712	121000	125	93.33	29.75	C-III
Boeing	720B	B720	234300	137	130.83	41.17	C-IV
Boeing	727-100	B721	169000	125	108.00	34.25	C-III
Boeing	727-200	B722	209500	138	108.00	34.92	C-III
Boeing	737-100	B731	110000	137	94.00	37.17	C-III
Boeing	737-200	B732	115500	137	93.00	37.25	C-III
Boeing	737-300	B733	139500	135	94.75	36.58	C-III
Boeing	737-400	B734	150000	139	94.75	36.58	C-III
Boeing	737-500	B735	136000	140	94.75	36.58	C-III
Boeing	737-600	B736	145500	125	112.58	41.25	C-III
Boeing	737-700	B737	154500	130	112.58	41.17	C-III
Boeing	737-800	B738	174200	141	112.58	41.17	D-III
Boeing	737-900	B739	164000	144	112.07	41.02	D-III
Boeing	747-400	B744	870000	154	213.00	64.30	D-V
Boeing	757-300	B753	272500	142	124.83	44.50	D-IV
Boeing	767-200	B762	315000	130	156.08	52.92	C-IV
Boeing	767-200		335000	142	156.01	52.11	D-IV
Boeing	767-300	B753	350000	130	156.08	52.58	C-IV
Boeing	767-300		380000	145	156.01	52.07	D-IV
Boeing	777-200	B772	632500	145	199.90	61.50	D-V
Boeing	777-200		632500	145	199.92	44.80	D-V
Boeing	777-300	B773	660000	145	199.90	61.50	D-V
Boeing	B-52	B52	488000	141	185.00	40.80	D-V
Boeing	C97 STRATOCRUISER	C97	145800	105	141.30	38.30	B-IV
Boeing	E-3		325000	137	145.90	42.00	C-IV
Boeing	E-4		833000	152	195.70	64.70	D-V
Boeing Australia	NOMAD N 22B	NOMA	8950	69	54.00	18.10	A-II
Boeing Australia	NOMAD N 24A		9400	73	54.20	18.20	A-II
Bombardier	31		17000	113	43.08	12.02	B-I
Bombardier	45		19500	123	47.10	14.01	C-I
Bombardier	60		23500	152	43.75	14.58	D-I
Bombardier	604		47600	132	64.33	20.33	C-II
Bombardier	BD		37500	132	63.80	20.30	C-II
Bombardier	BD	GLEX	95000	126	94.00	24.80	C-III
Bombardier	CL-600	CL60	47600	125	61.80	20.67	C-II
Bombardier	CONTINENTAL		37500	108	63.08	20.03	B-II
Britten-Norman	BN-2A MKIII	TRIS	10000	65	53.00	14.20	A-II
Canadair	CL		210000	123	142.30	38.40	C-IV
Canadair	CL 600	CL60	41250	125	61.80	20.70	C-II
Canadair	CL-44		210000	123	142.30	38.40	C-IV
Canadair	CL-44	CL44	210000	123	142.30	38.40	C-IV
Casa	C-207A AZOR	C207	36400	102	91.20	25.40	B-III
Casa	C-212-200 AVIOCAR		16976	81	62.30	20.70	A-II
Cessna	150	C150	1600	55	33.50	7.83	A-I
Cessna	177	C177	2500	64	35.50	8.50	A-I
Cessna	182	C182	3100	92	36.00	9.33	B-I
Cessna	206	C206	3600	92	36.00	9.30	B-I
Cessna	401	C402	6300	95	44.17	11.50	B-I
Cessna	402	C402	6300	95	44.17	11.50	B-I
Cessna	404	C404	8400	92	46.30	13.20	B-I
Cessna	414	C414	6785	94	44.10	11.50	B-I
Cessna	421	C421	7450	96	41.70	11.60	B-I
Cessna	421	C421	6840	96	41.70	11.60	B-I
Cessna	441	C441	9925	100	49.30	13.10	B-II
Cessna	675	C208	8000	104	52.10	14.80	B-II
Cessna	A-37 	A37*	14000	131	35.92	8.92	C-I
Cessna	CITATION	C550	14800	112	52.17	15.00	B-II
Cessna	CITATION	C525	10600	107	46.80	13.80	B-I
Cessna	CITATION	C25A	12500	118	49.83	14.00	B-II
Cessna	CITATION	C560	16630	108	54.08	15.17	B-II
Cessna	CITATION	C500	11850	108	47.10	14.30	B-I
Cessna	CITATION	C550	13300	108	51.70	15.00	B-II
Cessna	CITATION	C650	22000	114	53.50	16.80	B-II
Cessna	CITATION	C560	16830	107	55.80	17.20	B-II
Convair	240	CVLP	41790	107	91.80	26.90	B-III
Convair	340	CVLP	49700	104	105.33	28.17	B-III
Convair	440	CVLP	49700	106	105.33	28.17	B-III
Convair	580	CVLT	54600	107	105.30	29.20	B-III
Dassault Aviation	50	FA20	40780	113	61.92	22.92	B-II
Dassault Aviation	900	F900	45500	100	63.42	24.75	B-II
Dassault Aviation	2000	F2TH	35800	114	63.33	23.16	B-II
Dassault Aviation	1150 ATLANTIC	ATLA	95902	130	119.08	37.08	C-IV
Dassault Aviation	Falcon	FA10	18300	104	42.92	15.08	B-I
Dassault Aviation	Falcon	FA20	28660	107	53.50	17.42	B-II
Dassault Aviation	MERCURE		119048	117	100.25	37.33	B-III
De Havilland	D.H.C.		28765	77	95.63	31.75	A-III
De Havilland	DASH 8		41100	90	90.00	24.07	A-III
De Havilland	DHC-104 DOVE 8	DOVE	8950	84	57.00	13.30	A-II
De Havilland	DHC-106 COMET 4C		162000	108	115.00	29.50	B-III
De Havilland	DHC-114 HERON 2	HERN	13500	85	71.50	15.60	A-II
De Havilland	DHC-2 BEAVER	DH2T	5100	50	48.00	9.00	A-I
De Havilland	DHC-4 CARIBOU	DHC4	28500	77	95.67	31.75	A-III
De Havilland	DHC-5D BUFFALO		49200	91	96.00	28.70	B-III
De Havilland	DHC-6-300 TWIN OTTER	DHC6	12500	75	65.00	19.50	A-II
De Havilland	DHC-7 DASH 7-100	DHC7	44000	83	93.00	26.17	A-III
De Havilland	DHC-8 DASH 8-300	DH8C	41100	90	90.00	24.58	A-III
Embraer	110 BANDEIRANTE	E110	13007	92	50.30	16.50	B-II
Embraer	121 XINGU	E121	12500	92	47.40	15.90	B-I
Embraer	326 XAVANTE		11500	102	35.60	12.20	B-I
Embraer	820 NAVAJO CHIEF	PA31	7000	74	40.58	13.00	A-I
Fairchild Dornier	C		77000	122	109.30	27.50	C-III
Fairchild Dornier	Do 28	D28D	8855	74	51.00	12.80	A-II
Fairchild Dornier	DORNIER LTA		15100	74	58.40	18.20	A-II
Fairchild Dornier	FAIRCHILD C-119 		77000	122	109.00	27.50	C-III
Fairchild Dornier	FAIRCHILD C-121		60000	88	110.00	34.10	A-III
Fairchild Dornier	FAIRCHILD F-27 A		42000	109	95.20	27.50	B-III
Fairchild Dornier	FAIRCHILD F-27J		42000	109	95.20	27.50	B-III
Fairchild Dornier	FAIRCHILD FH-227 B		45500	105	95.20	27.50	B-III
Fairchild Dornier	FAIRCHILD FH-227 D		43500	105	95.20	27.50	B-III
Fairchild Industries	A-10	A10*	51000	140	57.50	14.67	C-II
Fma	FMA IA-50 GUARNI II		15700	101	64.10	19.10	B-II
Fokker	F		71000	121	82.30	27.10	C-III
Fokker	F-27-500		45000	102	95.20	29.30	B-III
Fokker	F-28-1000		65000	119	77.30	27.80	B-II
Fokker	F-28-2000		65000	119	77.30	27.80	B-II
Fokker	F-28-3000		73000	121	82.30	27.80	C-III
Fokker	F-28-4000		73000	121	82.30	27.80	C-III
Fokker	F-28-6000		73000	113	82.30	27.80	B-III
Fokker	VFW- Fokker 614	VF14	44000	111	70.50	25.60	B-II
Gates Learjet	LEARJET		13000	128	35.07	12.07	C-I
Gates Learjet	LEARJET	LJ25	15000	137	35.60	12.07	C-I
Gates Learjet	LEARJET		21500	128	43.70	14.70	C-I
Gates Learjet	LEARJET 24	LJ24	13000	128	35.60	12.60	C-I
Gates Learjet	LEARJET 25	LJ25	15000	137	35.60	12.60	C-I
Gates Learjet	LEARJET 28/29	LJ28	15000	120	43.70	12.30	B-I
Gates Learjet	LEARJET 35A/36A 	LJ28	18300	143	39.50	12.30	D-I
Gates Learjet	LEARJET 54-55-56		21500	128	43.70	14.70	C-I
General Dynamics	880		193500	155	120.00	36.00	D-IV
General Dynamics	990		255000	156	120.00	39.50	D-IV
Grumman	GULFSTREAM		33600	113	78.80	23.00	B-II
Grumman	GULFSTREAM I		36000	113	78.30	23.00	B-II
Grumman	GULFSTREAM II		65300	141	68.80	24.50	D-II
Grumman	GULFSTREAM III		68700	136	77.80	24.40	C-II
Grumman	GULFSTREAM IV		71780	145	77.80	24.40	D-II
Gulfstream Aerospace	G		33600	113	78.04	22.90	B-II
Gulfstream Aerospace	G	GLF2	65300	141	68.10	24.06	D-II
Gulfstream Aerospace	G	GLF3	68700	136	77.10	24.04	C-II
Gulfstream Aerospace	G	GLF4	74600	149	77.10	24.10	D-II
Gulfstream Aerospace	G	GLF4	73200	128	77.10	24.10	C-II
Gulfstream Aerospace	G550	GLF5	91000	145	93.50	25.10	D-III
Handley-Page	HP HERALD		43000	88	94.80	24.10	A-III
Hawker-Siddeley	748	A748	46500	94	102.46	24.83	B-III
Hawker-Siddeley	ARGOSY		93000	123	115.00	27.00	C-III
Hawker-Siddeley	ARGOSY		97000	113	115.00	27.00	B-III
Hawker-Siddeley	HS 121 TRIDENT 1E		135500	137	95.00	27.00	C-III
Hawker-Siddeley	HS 121 TRIDENT 2E		144000	138	98.00	27.00	C-III
Hawker-Siddeley	HS 121 TRIDENT 3B		150000	143	98.00	28.30	D-III
Hawker-Siddeley	HS 121 TRIDENT SUPER 3B	TRID	158000	146	98.00	28.30	D-III
Hawker-Siddeley	HS 125 SERIES 400A		23300	124	47.00	16.50	C-I
Hawker-Siddeley	HS 125 SERIES 600A		25000	125	47.00	17.20	C-I
Hawker-Siddeley	HS 125 SERIES 700A		24200	125	47.00	17.60	C-I
Hawker-Siddeley	HS 780 ANDOVER C.MK.1	A748	50000	100	98.20	30.10	B-III
Hawker-Siddeley	HS 801 NIMROD MR MK.2		177500	125	114.80	29.70	C-III
Iai	1123	WW23	23500	129	44.80	15.80	C-I
IAI	1125	ASTR	24650	126	54.70	18.02	C-II
IAI	Arava 101	ARVA	15000	81	68.80	17.10	A-II
IAI	Arava 201	ARVA	15000	81	68.80	17.10	A-II
IAI	IAI 1121 JET COMMANDER	JCOM	16800	130	43.30	15.80	C-I
IAI	IAI 1124 WESTWIND	WW24	23500	129	44.80	15.80	C-I
IAI	IAI-1124 WESTWIND	WW24	23500	129	44.80	15.80	C-I
Ilyushin	IL-12		38000	78	104.00	30.50	A-III
Ilyushin	IL-18	IL18	134640	103	122.70	33.30	B-IV
Ilyushin	IL-62		363760	152	141.80	40.50	D-IV
Ilyushin	IL-76	IL76	374785	119	165.70	48.40	B-IV
Ilyushin	IL-86		454150	141	157.70	51.80	D-IV
Kawasaki Heavy Industries	C-1		85320	118	100.40	32.90	B-III
Let	L		6600	95	65.55	19.13	B-II
Let	L		6600	95	65.55	19.13	B-II
Let	L		6600	94	65.05	19.01	B-II
Let	L		6600	94	65.05	19.01	B-II
Lockheed	100-20 Hercules	C130	155000	129	132.07	39.30	C-IV
Lockheed	100-20 Hercules	C130	155000	129	132.60	39.30	C-IV
Lockheed	100-30 Hercules	C130	155000	138	132.07	39.20	C-IV
Lockheed	100-30 Hercules	C130	155000	138	132.60	39.20	C-IV
Lockheed	1011-1 	L101	430000	138	155.30	55.30	C-IV
Lockheed	1011-100	L101	466000	140	155.30	55.30	C-IV
Lockheed	1011-200	L101	466000	144	155.30	55.30	D-IV
Lockheed	1011-250	L101	510000	144	155.30	55.30	D-IV
Lockheed	1011-500	L101	516000	148	155.30	55.30	D-IV
Lockheed	1329 JetStar	L29A	43750	132	54.40	20.40	C-II
Lockheed	C-141A	C141	316600	129	159.90	39.30	C-IV
Lockheed	C-141B	C141	343000	129	159.90	39.30	C-IV
Lockheed	C-5B	C5	769000	135	222.70	65.10	C-VI
Lockheed	C-5B Galaxy	C5	837000	135	222.70	65.10	C-VI
Lockheed	P-3 ORION	P3	135000	134	99.70	33.80	C-III
Martin	MARTIN-404		44900	98	93.30	28.70	B-III
Mcdonnell Douglas	A-4	A4*	24500	120	27.50	15.00	B-I
Mcdonnell Douglas	DC		104000	108	117.50	29.30	B-III
Mcdonnell Douglas	DC		315000	133	142.40	43.30	C-IV
Mcdonnell Douglas	DC		325000	137	142.40	43.30	C-IV
Mcdonnell Douglas	DC		325000	142	142.05	43.04	D-IV
Mcdonnell Douglas	DC		328000	158	142.05	43.00	D-IV
Mcdonnell Douglas	DC		350000	142	148.05	43.40	D-IV
Mcdonnell Douglas	DC		350000	146	148.05	43.05	D-IV
Mcdonnell Douglas	DC		355000	147	148.05	43.00	D-IV
Mcdonnell Douglas	DC		355000	147	148.05	43.00	D-IV
Mcdonnell Douglas	DC		328000	142	142.05	43.00	D-IV
Mcdonnell Douglas	DC		335000	142	148.05	43.05	D-IV
Mcdonnell Douglas	DC		335000	142	148.05	43.05	D-IV
Mcdonnell Douglas	DC		350000	142	148.05	43.05	D-IV
Mcdonnell Douglas	DC		250000	142	148.05	43.05	D-IV
Mcdonnell Douglas	DC		355000	146	148.05	43.00	D-IV
Mcdonnell Douglas	DC		355000	146	148.05	43.00	D-IV
Mcdonnell Douglas	DC		355000	146	148.05	43.00	D-IV
Mcdonnell Douglas	DC		355000	146	148.05	43.00	D-IV
Mcdonnell Douglas	DC		98000	124	93.30	27.05	C-III
Mcdonnell Douglas	DC		110000	127	93.30	27.80	C-III
Mcdonnell Douglas	DC		443000	136	155.30	58.50	C-IV
Mcdonnell Douglas	DC		590000	151	165.30	58.07	D-IV
Mcdonnell Douglas	DC		555000	145	165.04	58.07	D-IV
Mcdonnell Douglas	DC		114000	129	93.30	28.40	C-III
Mcdonnell Douglas	DC		121000	132	93.30	28.80	C-III
Mcdonnell Douglas	KC		590000	151	165.30	58.07	D-IV
Mcdonnell Douglas	MDC-C-133		300000	128	179.70	48.20	C-V
Mcdonnell Douglas	MDC-DC-10-10	DC10	443000	136	155.30	58.40	C-IV
Mcdonnell Douglas	MDC-DC-10-30		590000	151	165.30	58.60	D-IV
Mcdonnell Douglas	MDC-DC-10-40		555000	145	165.40	58.60	D-IV
Mcdonnell Douglas	MDC-DC-3		25200	72	95.00	23.50	A-III
Mcdonnell Douglas	MDC-DC-4		73000	95	117.50	27.90	B-III
Mcdonnell Douglas	MDC-DC-6A/B		104000	108	117.50	29.30	B-III
Mcdonnell Douglas	MDC-DC-7	DC7	143000	110	127.50	31.70	B-IV
Mcdonnell Douglas	MDC-DC-8-10		276000	131	142.40	43.30	C-IV
Mcdonnell Douglas	MDC-DC-8-20/30/40		315000	133	142.40	43.30	C-IV
Mcdonnell Douglas	MDC-DC-8-50	DC85	325000	137	142.40	43.30	C-IV
Mcdonnell Douglas	MDC-DC-8-61		325000	142	142.40	43.00	D-IV
Mcdonnell Douglas	MDC-DC-8-63		355000	147	148.40	43.00	D-IV
Mcdonnell Douglas	MDC-DC-9-10/15		90700	134	89.40	27.60	C-III
Mcdonnell Douglas	MDC-DC-9-20		98000	124	93.30	27.40	C-III
Mcdonnell Douglas	MDC-DC-9-30		110000	127	93.30	27.80	C-III
Mcdonnell Douglas	MDC-DC-9-40		114000	129	93.30	28.40	C-III
Mcdonnell Douglas	MDC-DC-9-50		121000	132	93.30	28.80	C-III
Mcdonnell Douglas	MDC-DC-9-80		140000	132	107.80	30.30	C-III
Mcdonnell Douglas	MDC-DC-9-82		149500	135	107.80	30.30	C-III
Mcdonnell Douglas	MDC-MD-11	MD11	602500	155	169.80	57.80	D-IV
Mitsubishi	DIAMOND MU-300	BE40	15730	100	43.50	13.80	B-I
Mitsubishi	Marquise MU-2N	MU2	11575	88	39.17	13.58	A-I
Mitsubishi	MARQUISE MU-2N		11575	88	39.20	13.70	A-I
Mitsubishi	MU-2G	MU2	10800	119	39.20	13.80	B-I
Navion	Navion		2750	70	34.00	9.00	A-I
Nihon	YS-11		54010	98	105.00	29.50	B-III
Northrop	B-2	B2	336500	140	172.00	17.00	C-V
Partenavia	P.68B VICTOR		6283	73	39.30	11.90	A-I
Piaggio	P-166 PORTOFINO		9480	82	47.20	16.40	A-I
Piaggio	PD-808		18300	117	43.30	15.80	B-I
Pilatus	PC-6 PORTER		4850	57	49.70	10.50	A-II
Piper	60-600	AEST	6315	94	36.67	13.20	B-I
Piper	PA-31-310	PA31	6200	100	40.70	13.00	B-I
Piper	PA-42-1000	PAY4	12050	110	47.70	17.00	B-I
PZL-Mielec	PZL AN-2	AN2	12125	54	59.67	13.17	A-II
PZL-Mielec	PZL M28		14330	85	72.40	16.10	A-II
Raytheon	76		3900	76	38.00	9.50	A-I
Raytheon	180		2450	68	32.80	8.20	A-I
Raytheon	200		2750	70	32.80	8.20	A-I
Raytheon	300		12500	103	54.06	14.04	B-II
Raytheon	A	BE40	16100	111	43.06	13.11	B-I
Raytheon	A		3650	72	33.50	8.60	A-I
Raytheon	B		11800	111	45.80	15.30	B-I
Raytheon	B		12500	103	54.50	15.00	B-II
Raytheon	B		3850	75	37.80	8.60	A-I
Raytheon	B		6775	98	39.20	12.30	B-I
Raytheon	C		9650	100	50.20	14.20	B-II
Raytheon	C		11300	107	45.90	14.40	B-I
Raytheon	E		9300	87	49.70	9.50	A-II
Raytheon	E		5300	88	37.80	9.10	A-I
Raytheon	F		3400	70	33.50	8.20	A-I
Raytheon	F		10950	108	45.90	15.10	B-I
Raytheon	V		3400	70	33.50	6.60	A-I
Rockwell International	112	AC11	11500	75	46.00	9.58	A-I
Rockwell International	695	AC95	10325	121	52.20	15.00	C-II
Rockwell International	Aero Commander 500	AC50	6750	97	49.08	15.00	B-II
Rockwell International	Aero Commander 560	AC56	6500	97	49.08	14.50	B-II
Rockwell International	Aero Commander 680	AC68	7500	97	49.08	14.50	B-II
Rockwell International	B-1	B1*	477000	165	137.00	34.00	D-IV
Rockwell International	COMMANDER 520	AC52	5500	97	44.10	14.83	B-I
Rockwell International	Turbo Commander 680T	AC80	8950	97	49.05	14.50	B-II
Rockwell International	Turbo Commander 690	AC90	10250	97	46.67	15.00	B-I
Ryan Aeronautical	NAVION		2750	70	34.00	9.00	A-I
Ryan Aeronautical	NAVION		2850	77	34.00	9.00	A-I
Ryan Aeronautical	NAVION		3150	85	35.00	9.00	A-I
Ryan Aeronautical	NAVION		3150	85	35.00	9.00	A-I
Ryan Aeronautical	NAVION		3150	85	35.00	9.00	A-I
Ryan Aeronautical	NAVION		3150	85	35.00	9.00	A-I
Ryan Aeronautical	NAVION		3315	85	35.00	7.42	A-I
Sabreliner Corp	SABRELINER 40	SBR1	18650	120	44.50	16.00	B-I
Sabreliner Corp	SABRELINER 60	SBR1	20000	120	44.50	16.00	B-I
Sabreliner Corp	SABRELINER 65	SBR1	24000	105	50.50	16.00	B-II
Sabreliner Corp	SABRELINER 75A	SBR2	23300	137	44.50	17.02	C-I
Sabreliner Corp	SABRELINER 80	SBR2	24500	128	50.40	17.03	C-II
Shorts Brothers	330	SH33	22000	96	74.67	16.25	B-II
Shorts Brothers	360	SH36	26000	104	74.80	23.08	B-II
Swearingen	MERLIN 3B		12500	105	46.20	16.70	B-I
Swearingen	METRO		12500	112	46.20	16.70	B-I
Tupolev	TU-114		361620	132	167.60	50.00	C-IV
Tupolev	TU-124		80482	132	83.80	50.00	C-III
Tupolev	TU-134		103600	144	95.20	30.00	D-III
Tupolev	TU-144		396000	178	94.80	42.20	E-III
Tupolev	TU-154		216050	145	123.30	37.40	D-IV
Volpar	TURBO 18	B18T	10280	100	46.00	9.50	B-I
